# Logfile created on 2014-01-25 13:59:12 +0100 by logger.rb/44203
I, [2014-01-25T13:59:19.241657 #7344]  INFO -- : Korda György won 1716
I, [2014-01-25T13:59:19.297884 #7344]  INFO -- : Jim Java has 9 chips
I, [2014-01-25T13:59:19.298186 #7344]  INFO -- : Korda György has 1991 chips
I, [2014-01-25T13:59:19.299874 #7344]  INFO -- : Jim Java got hole card 2 of Clubs (2, Clubs)
I, [2014-01-25T13:59:19.325954 #7344]  INFO -- : Korda György got hole card 4 of Hearts (4, Hearts)
I, [2014-01-25T13:59:19.327514 #7344]  INFO -- : Jim Java got hole card Ace of Spades (14, Spades)
I, [2014-01-25T13:59:19.355008 #7344]  INFO -- : Korda György got hole card 2 of Spades (2, Spades)
I, [2014-01-25T13:59:19.385659 #7344]  INFO -- : Jim Java made a bet of 9 (allin) and is left with 0 chips. The pot now contains 9 chips.
I, [2014-01-25T13:59:19.419335 #7344]  INFO -- : Korda György made a bet of 160 (raise) and is left with 1831 chips. The pot now contains 169 chips.
I, [2014-01-25T13:59:19.484007 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 1831 chips. The pot now contains 169 chips.
I, [2014-01-25T13:59:19.513850 #7344]  INFO -- : community card 3 of Hearts
I, [2014-01-25T13:59:19.544373 #7344]  INFO -- : community card 3 of Spades
I, [2014-01-25T13:59:19.576032 #7344]  INFO -- : community card 9 of Diamonds
I, [2014-01-25T13:59:19.601347 #7344]  INFO -- : community card Jack of Clubs
I, [2014-01-25T13:59:19.627947 #7344]  INFO -- : community card 3 of Clubs
I, [2014-01-25T13:59:19.655621 #7344]  INFO -- : Korda György showed 2 of Spades,3 of Clubs,3 of Hearts,3 of Spades,4 of Hearts,9 of Diamonds,Jack of Clubs making a three of a kind
I, [2014-01-25T13:59:19.684501 #7344]  INFO -- : Jim Java showed 2 of Clubs,3 of Spades,3 of Hearts,3 of Clubs,9 of Diamonds,Jack of Clubs,Ace of Spades making a three of a kind
I, [2014-01-25T13:59:19.715321 #7344]  INFO -- : Jim Java won 18
I, [2014-01-25T13:59:19.744045 #7344]  INFO -- : Korda György won 151
I, [2014-01-25T13:59:19.799719 #7344]  INFO -- : Jim Java has 18 chips
I, [2014-01-25T13:59:19.800032 #7344]  INFO -- : Korda György has 1982 chips
I, [2014-01-25T13:59:19.825832 #7344]  INFO -- : Korda György got hole card 3 of Clubs (3, Clubs)
I, [2014-01-25T13:59:19.826929 #7344]  INFO -- : Jim Java got hole card 3 of Spades (3, Spades)
I, [2014-01-25T13:59:19.859246 #7344]  INFO -- : Korda György got hole card 3 of Hearts (3, Hearts)
I, [2014-01-25T13:59:19.859875 #7344]  INFO -- : Jim Java got hole card 5 of Hearts (5, Hearts)
I, [2014-01-25T13:59:19.886478 #7344]  INFO -- : Korda György made a bet of 160 (raise) and is left with 1822 chips. The pot now contains 160 chips.
I, [2014-01-25T13:59:19.919115 #7344]  INFO -- : Jim Java made a bet of 18 (allin) and is left with 0 chips. The pot now contains 178 chips.
I, [2014-01-25T13:59:19.976569 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 1822 chips. The pot now contains 178 chips.
I, [2014-01-25T13:59:20.008634 #7344]  INFO -- : community card 9 of Spades
I, [2014-01-25T13:59:20.039793 #7344]  INFO -- : community card Ace of Hearts
I, [2014-01-25T13:59:20.067207 #7344]  INFO -- : community card 6 of Spades
I, [2014-01-25T13:59:20.101949 #7344]  INFO -- : community card 5 of Diamonds
I, [2014-01-25T13:59:20.135039 #7344]  INFO -- : community card Jack of Spades
I, [2014-01-25T13:59:20.168319 #7344]  INFO -- : Korda György showed 3 of Clubs,3 of Hearts,5 of Diamonds,6 of Spades,9 of Spades,Jack of Spades,Ace of Hearts making a pair
I, [2014-01-25T13:59:20.197756 #7344]  INFO -- : Jim Java showed 3 of Spades,5 of Hearts,5 of Diamonds,6 of Spades,9 of Spades,Jack of Spades,Ace of Hearts making a pair
I, [2014-01-25T13:59:20.232326 #7344]  INFO -- : Jim Java won 36
I, [2014-01-25T13:59:20.260835 #7344]  INFO -- : Korda György won 142
I, [2014-01-25T13:59:20.318268 #7344]  INFO -- : Jim Java has 36 chips
I, [2014-01-25T13:59:20.318572 #7344]  INFO -- : Korda György has 1964 chips
I, [2014-01-25T13:59:20.320031 #7344]  INFO -- : Jim Java got hole card 9 of Clubs (9, Clubs)
I, [2014-01-25T13:59:20.350824 #7344]  INFO -- : Korda György got hole card 5 of Hearts (5, Hearts)
I, [2014-01-25T13:59:20.352883 #7344]  INFO -- : Jim Java got hole card 8 of Diamonds (8, Diamonds)
I, [2014-01-25T13:59:20.385345 #7344]  INFO -- : Korda György got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T13:59:20.414044 #7344]  INFO -- : Jim Java made a bet of 36 (allin) and is left with 0 chips. The pot now contains 36 chips.
I, [2014-01-25T13:59:20.443416 #7344]  INFO -- : Korda György made a bet of 320 (raise) and is left with 1644 chips. The pot now contains 356 chips.
I, [2014-01-25T13:59:20.507582 #7344]  INFO -- : Korda György made a bet of 289 (raise) and is left with 1355 chips. The pot now contains 645 chips.
