# Logfile created on 2014-01-25 12:02:26 +0100 by logger.rb/44203
I, [2014-01-25T12:12:07.510559 #4310]  INFO -- : community card 5 of Diamonds
I, [2014-01-25T12:12:12.804491 #4310]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1130 chips. The pot now contains 80 chips.
I, [2014-01-25T12:12:23.049358 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 820 chips. The pot now contains 80 chips.
I, [2014-01-25T12:12:28.149723 #4310]  INFO -- : community card 9 of Diamonds
I, [2014-01-25T12:12:33.481367 #4310]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1130 chips. The pot now contains 80 chips.
I, [2014-01-25T12:12:43.875159 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 820 chips. The pot now contains 80 chips.
I, [2014-01-25T12:12:48.984389 #4310]  INFO -- : community card 9 of Clubs
I, [2014-01-25T12:12:54.391715 #4310]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 1090 chips. The pot now contains 120 chips.
I, [2014-01-25T12:13:11.461652 #4310]  INFO -- : Korda György made a bet of 40 (call) and is left with 780 chips. The pot now contains 160 chips.
I, [2014-01-25T12:13:17.000755 #4310]  INFO -- : Jim Java showed 3 of Spades,4 of Clubs,5 of Diamonds,9 of Diamonds,9 of Clubs,10 of Hearts,Ace of Clubs making a pair
I, [2014-01-25T12:13:22.198159 #4310]  INFO -- : Korda György showed 3 of Diamonds,5 of Diamonds,9 of Diamonds,9 of Clubs,10 of Hearts,Queen of Hearts,Ace of Clubs making a pair
I, [2014-01-25T12:13:27.314217 #4310]  INFO -- : Korda György won 160
I, [2014-01-25T12:13:44.828883 #4310]  INFO -- : guest42 has 970 chips
I, [2014-01-25T12:13:44.829203 #4310]  INFO -- : Jim Java has 1090 chips
I, [2014-01-25T12:13:44.829372 #4310]  INFO -- : Korda György has 940 chips
I, [2014-01-25T12:13:49.921337 #4310]  INFO -- : Korda György got hole card Ace of Clubs (14, Clubs)
I, [2014-01-25T12:13:49.946732 #4310]  INFO -- : guest42 got hole card 9 of Diamonds (9, Diamonds)
I, [2014-01-25T12:13:50.353731 #4310]  INFO -- : Jim Java got hole card Queen of Diamonds (12, Diamonds)
I, [2014-01-25T12:13:55.471974 #4310]  INFO -- : Korda György got hole card Queen of Clubs (12, Clubs)
I, [2014-01-25T12:13:55.476030 #4310]  INFO -- : guest42 got hole card 10 of Diamonds (10, Diamonds)
I, [2014-01-25T12:13:55.488062 #4310]  INFO -- : Jim Java got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T12:14:00.657312 #4310]  INFO -- : Korda György made a bet of 20 (raise) and is left with 920 chips. The pot now contains 20 chips.
I, [2014-01-25T12:14:10.012262 #4310]  INFO -- : guest42 made a bet of 40 (raise) and is left with 930 chips. The pot now contains 60 chips.
I, [2014-01-25T12:14:15.292612 #4310]  INFO -- : Jim Java made a bet of 40 (call) and is left with 1050 chips. The pot now contains 100 chips.
I, [2014-01-25T12:14:27.691857 #4310]  INFO -- : Korda György made a bet of 20 (call) and is left with 900 chips. The pot now contains 120 chips.
I, [2014-01-25T12:14:32.860910 #4310]  INFO -- : guest42 made a bet of 0 (check) and is left with 930 chips. The pot now contains 120 chips.
I, [2014-01-25T12:14:38.256988 #4310]  INFO -- : community card Jack of Clubs
I, [2014-01-25T12:14:43.416874 #4310]  INFO -- : community card 9 of Spades
I, [2014-01-25T12:14:48.524094 #4310]  INFO -- : community card 7 of Clubs
I, [2014-01-25T12:14:58.784741 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 900 chips. The pot now contains 120 chips.
I, [2014-01-25T12:15:03.976418 #4310]  INFO -- : guest42 made a bet of 0 (check) and is left with 930 chips. The pot now contains 120 chips.
I, [2014-01-25T12:15:09.371746 #4310]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1050 chips. The pot now contains 120 chips.
I, [2014-01-25T12:15:14.521503 #4310]  INFO -- : community card 3 of Hearts
I, [2014-01-25T12:15:24.730706 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 900 chips. The pot now contains 120 chips.
I, [2014-01-25T12:15:30.078576 #4310]  INFO -- : guest42 made a bet of 0 (check) and is left with 930 chips. The pot now contains 120 chips.
I, [2014-01-25T12:15:35.311380 #4310]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1050 chips. The pot now contains 120 chips.
I, [2014-01-25T12:15:40.443958 #4310]  INFO -- : community card 2 of Hearts
I, [2014-01-25T12:15:51.073838 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 900 chips. The pot now contains 120 chips.
I, [2014-01-25T12:15:57.394858 #4310]  INFO -- : guest42 made a bet of 0 (check) and is left with 930 chips. The pot now contains 120 chips.
I, [2014-01-25T12:16:02.674589 #4310]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1050 chips. The pot now contains 120 chips.
I, [2014-01-25T12:16:10.810622 #4310]  INFO -- : Korda György showed 2 of Hearts,3 of Hearts,7 of Clubs,9 of Spades,Jack of Clubs,Queen of Clubs,Ace of Clubs making a high card
I, [2014-01-25T12:16:18.357514 #4310]  INFO -- : guest42 showed 2 of Hearts,3 of Hearts,7 of Clubs,9 of Spades,9 of Diamonds,10 of Diamonds,Jack of Clubs making a pair
I, [2014-01-25T12:16:27.198586 #4310]  INFO -- : guest42 won 120
I, [2014-01-25T12:16:45.547645 #4310]  INFO -- : guest42 has 1050 chips
I, [2014-01-25T12:16:45.548181 #4310]  INFO -- : Jim Java has 1050 chips
I, [2014-01-25T12:16:45.548356 #4310]  INFO -- : Korda György has 900 chips
I, [2014-01-25T12:16:45.557768 #4310]  INFO -- : guest42 got hole card 10 of Hearts (10, Hearts)
I, [2014-01-25T12:16:45.563735 #4310]  INFO -- : Jim Java got hole card 4 of Clubs (4, Clubs)
I, [2014-01-25T12:16:50.690468 #4310]  INFO -- : Korda György got hole card Queen of Hearts (12, Hearts)
I, [2014-01-25T12:16:50.707038 #4310]  INFO -- : guest42 got hole card 10 of Diamonds (10, Diamonds)
I, [2014-01-25T12:16:50.775884 #4310]  INFO -- : Jim Java got hole card 9 of Hearts (9, Hearts)
I, [2014-01-25T12:16:55.875414 #4310]  INFO -- : Korda György got hole card Queen of Spades (12, Spades)
I, [2014-01-25T12:17:01.293733 #4310]  INFO -- : guest42 made a bet of 20 (raise) and is left with 1030 chips. The pot now contains 20 chips.
I, [2014-01-25T12:17:07.839446 #4310]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 1010 chips. The pot now contains 60 chips.
I, [2014-01-25T12:17:18.130502 #4310]  INFO -- : Korda György made a bet of 40 (call) and is left with 860 chips. The pot now contains 100 chips.
I, [2014-01-25T12:17:23.348466 #4310]  INFO -- : guest42 made a bet of 0 (fold) and is left with 1030 chips. The pot now contains 100 chips.
I, [2014-01-25T12:17:28.827075 #4310]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1010 chips. The pot now contains 100 chips.
I, [2014-01-25T12:17:33.938633 #4310]  INFO -- : community card 9 of Clubs
I, [2014-01-25T12:17:39.079700 #4310]  INFO -- : community card 5 of Clubs
I, [2014-01-25T12:17:45.554835 #4310]  INFO -- : community card 3 of Hearts
I, [2014-01-25T12:17:50.779904 #4310]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 970 chips. The pot now contains 140 chips.
I, [2014-01-25T12:18:01.026607 #4310]  INFO -- : Korda György made a bet of 40 (call) and is left with 820 chips. The pot now contains 180 chips.
I, [2014-01-25T12:18:06.150100 #4310]  INFO -- : community card 8 of Diamonds
I, [2014-01-25T12:18:11.252845 #4310]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 930 chips. The pot now contains 220 chips.
I, [2014-01-25T12:18:21.501160 #4310]  INFO -- : Korda György made a bet of 40 (call) and is left with 780 chips. The pot now contains 260 chips.
I, [2014-01-25T12:18:26.694582 #4310]  INFO -- : community card Queen of Clubs
I, [2014-01-25T12:18:32.129895 #4310]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 890 chips. The pot now contains 300 chips.
I, [2014-01-25T12:18:42.458559 #4310]  INFO -- : Korda György made a bet of 40 (call) and is left with 740 chips. The pot now contains 340 chips.
I, [2014-01-25T12:18:47.754738 #4310]  INFO -- : Jim Java showed 3 of Hearts,4 of Clubs,5 of Clubs,8 of Diamonds,9 of Clubs,9 of Hearts,Queen of Clubs making a pair
I, [2014-01-25T12:18:52.935306 #4310]  INFO -- : Korda György showed 3 of Hearts,5 of Clubs,8 of Diamonds,9 of Clubs,Queen of Hearts,Queen of Spades,Queen of Clubs making a three of a kind
I, [2014-01-25T12:18:58.049194 #4310]  INFO -- : Korda György won 340
I, [2014-01-25T12:19:14.274438 #4310]  INFO -- : guest42 has 1030 chips
I, [2014-01-25T12:19:14.274825 #4310]  INFO -- : Jim Java has 890 chips
I, [2014-01-25T12:19:14.274993 #4310]  INFO -- : Korda György has 1080 chips
I, [2014-01-25T12:19:14.282351 #4310]  INFO -- : Jim Java got hole card Ace of Diamonds (14, Diamonds)
I, [2014-01-25T12:19:20.006507 #4310]  INFO -- : Korda György got hole card 5 of Spades (5, Spades)
I, [2014-01-25T12:19:20.157516 #4310]  INFO -- : guest42 got hole card Ace of Hearts (14, Hearts)
