# Logfile created on 2014-01-25 16:41:09 +0100 by logger.rb/44203
I, [2014-01-25T16:41:16.475328 #12199]  INFO -- : Jim Java got hole card Queen of Hearts (12, Hearts)
I, [2014-01-25T16:41:16.513122 #12199]  INFO -- : Korda György got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T16:41:16.547828 #12199]  INFO -- : devill made a bet of 40 (raise) and is left with 580 chips. The pot now contains 40 chips.
I, [2014-01-25T16:41:16.580949 #12199]  INFO -- : Jim Java made a bet of 80 (raise) and is left with 880 chips. The pot now contains 120 chips.
I, [2014-01-25T16:41:16.644440 #12199]  INFO -- : Korda György made a bet of 80 (call) and is left with 1340 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:16.680067 #12199]  INFO -- : devill made a bet of 0 (fold) and is left with 580 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:16.717611 #12199]  INFO -- : Jim Java made a bet of 0 (check) and is left with 880 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:16.746124 #12199]  INFO -- : community card 10 of Hearts
I, [2014-01-25T16:41:16.778760 #12199]  INFO -- : community card 7 of Clubs
I, [2014-01-25T16:41:16.810770 #12199]  INFO -- : community card Ace of Diamonds
I, [2014-01-25T16:41:16.840356 #12199]  INFO -- : Jim Java made a bet of 0 (check) and is left with 880 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:16.913217 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1340 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:16.945985 #12199]  INFO -- : community card 8 of Diamonds
I, [2014-01-25T16:41:16.986253 #12199]  INFO -- : Jim Java made a bet of 0 (check) and is left with 880 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:17.063164 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1340 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:17.100452 #12199]  INFO -- : community card 6 of Clubs
I, [2014-01-25T16:41:17.134550 #12199]  INFO -- : Jim Java made a bet of 0 (check) and is left with 880 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:17.211719 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 1340 chips. The pot now contains 200 chips.
I, [2014-01-25T16:41:17.252252 #12199]  INFO -- : Jim Java showed 3 of Diamonds,6 of Clubs,7 of Clubs,8 of Diamonds,10 of Hearts,Queen of Hearts,Ace of Diamonds making a high card
I, [2014-01-25T16:41:17.291000 #12199]  INFO -- : Korda György showed 6 of Clubs,7 of Clubs,8 of Diamonds,10 of Hearts,Jack of Diamonds,King of Hearts,Ace of Diamonds making a high card
I, [2014-01-25T16:41:17.323850 #12199]  INFO -- : Korda György won 200
