# Logfile created on 2014-01-25 17:54:55 +0100 by logger.rb/44203
I, [2014-01-25T17:55:01.161511 #13576]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 960 chips. The pot now contains 80 chips.
I, [2014-01-25T17:55:01.236140 #13576]  INFO -- : Korda György made a bet of 20 (call) and is left with 900 chips. The pot now contains 100 chips.
I, [2014-01-25T17:55:01.273126 #13576]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 1020 chips. The pot now contains 120 chips.
I, [2014-01-25T17:55:01.313349 #13576]  INFO -- : community card King of Clubs
I, [2014-01-25T17:55:01.346614 #13576]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 940 chips. The pot now contains 140 chips.
I, [2014-01-25T17:55:01.427680 #13576]  INFO -- : Korda György made a bet of 20 (call) and is left with 880 chips. The pot now contains 160 chips.
I, [2014-01-25T17:55:01.466574 #13576]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 1000 chips. The pot now contains 180 chips.
I, [2014-01-25T17:55:01.501839 #13576]  INFO -- : community card 2 of Spades
I, [2014-01-25T17:55:01.534904 #13576]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 920 chips. The pot now contains 200 chips.
I, [2014-01-25T17:55:01.609271 #13576]  INFO -- : Korda György made a bet of 0 (fold) and is left with 880 chips. The pot now contains 200 chips.
I, [2014-01-25T17:55:01.647771 #13576]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 980 chips. The pot now contains 220 chips.
I, [2014-01-25T17:55:01.683033 #13576]  INFO -- : Jim Java showed 2 of Spades,5 of Spades,7 of Diamonds,Jack of Diamonds,Jack of Hearts,Jack of Spades,King of Clubs making a three of a kind
I, [2014-01-25T17:55:01.721282 #13576]  INFO -- : devill_4242 showed 2 of Spades,6 of Hearts,8 of Hearts,Jack of Hearts,Jack of Diamonds,Jack of Spades,King of Clubs making a three of a kind
I, [2014-01-25T17:55:01.752825 #13576]  INFO -- : devill_4242 won 220
I, [2014-01-25T17:55:01.832848 #13576]  INFO -- : devill_4242 has 1200 chips
I, [2014-01-25T17:55:01.833198 #13576]  INFO -- : Jim Java has 920 chips
I, [2014-01-25T17:55:01.833432 #13576]  INFO -- : Korda György has 880 chips
I, [2014-01-25T17:55:01.871255 #13576]  INFO -- : Korda György got hole card Queen of Hearts (12, Hearts)
I, [2014-01-25T17:55:01.872914 #13576]  INFO -- : devill_4242 got hole card 5 of Spades (5, Spades)
I, [2014-01-25T17:55:01.873966 #13576]  INFO -- : Jim Java got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T17:55:01.908937 #13576]  INFO -- : Korda György got hole card Queen of Diamonds (12, Diamonds)
I, [2014-01-25T17:55:01.910373 #13576]  INFO -- : devill_4242 got hole card 10 of Diamonds (10, Diamonds)
I, [2014-01-25T17:55:01.911908 #13576]  INFO -- : Jim Java got hole card King of Hearts (13, Hearts)
I, [2014-01-25T17:55:01.945680 #13576]  INFO -- : Korda György made a bet of 10 (raise) and is left with 870 chips. The pot now contains 10 chips.
I, [2014-01-25T17:55:01.986178 #13576]  INFO -- : devill_4242 made a bet of 20 (raise) and is left with 1180 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:02.028299 #13576]  INFO -- : Jim Java made a bet of 20 (call) and is left with 900 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:02.089820 #13576]  INFO -- : Korda György made a bet of 10 (call) and is left with 860 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:02.124458 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1180 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:02.156468 #13576]  INFO -- : community card 3 of Diamonds
I, [2014-01-25T17:55:02.184571 #13576]  INFO -- : community card 10 of Clubs
I, [2014-01-25T17:55:02.211603 #13576]  INFO -- : community card Ace of Spades
I, [2014-01-25T17:55:02.282647 #13576]  INFO -- : Korda György made a bet of 0 (check) and is left with 860 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:02.319268 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1180 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:02.359587 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 900 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:02.391752 #13576]  INFO -- : community card 8 of Spades
I, [2014-01-25T17:55:02.465885 #13576]  INFO -- : Korda György made a bet of 0 (check) and is left with 860 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:02.503359 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1180 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:02.541591 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 900 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:02.575540 #13576]  INFO -- : community card 3 of Clubs
I, [2014-01-25T17:55:02.649007 #13576]  INFO -- : Korda György made a bet of 0 (check) and is left with 860 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:02.680102 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1180 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:02.708273 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 900 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:02.749009 #13576]  INFO -- : Korda György showed 3 of Clubs,3 of Diamonds,8 of Spades,10 of Clubs,Queen of Hearts,Queen of Diamonds,Ace of Spades making a two pairs
I, [2014-01-25T17:55:02.786053 #13576]  INFO -- : Korda György won 60
I, [2014-01-25T17:55:02.880292 #13576]  INFO -- : devill_4242 has 1180 chips
I, [2014-01-25T17:55:02.880613 #13576]  INFO -- : Jim Java has 900 chips
I, [2014-01-25T17:55:02.880834 #13576]  INFO -- : Korda György has 920 chips
I, [2014-01-25T17:55:02.882381 #13576]  INFO -- : devill_4242 got hole card 8 of Clubs (8, Clubs)
I, [2014-01-25T17:55:02.883728 #13576]  INFO -- : Jim Java got hole card 5 of Diamonds (5, Diamonds)
I, [2014-01-25T17:55:02.917993 #13576]  INFO -- : Korda György got hole card 3 of Hearts (3, Hearts)
I, [2014-01-25T17:55:02.919662 #13576]  INFO -- : devill_4242 got hole card 3 of Clubs (3, Clubs)
I, [2014-01-25T17:55:02.921204 #13576]  INFO -- : Jim Java got hole card 5 of Clubs (5, Clubs)
I, [2014-01-25T17:55:02.954544 #13576]  INFO -- : Korda György got hole card 7 of Clubs (7, Clubs)
I, [2014-01-25T17:55:02.988123 #13576]  INFO -- : devill_4242 made a bet of 10 (raise) and is left with 1170 chips. The pot now contains 10 chips.
I, [2014-01-25T17:55:03.021231 #13576]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 880 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:03.092401 #13576]  INFO -- : Korda György made a bet of 0 (fold) and is left with 920 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:03.125772 #13576]  INFO -- : devill_4242 made a bet of 10 (call) and is left with 1160 chips. The pot now contains 40 chips.
I, [2014-01-25T17:55:03.158225 #13576]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 840 chips. The pot now contains 80 chips.
I, [2014-01-25T17:55:03.195012 #13576]  INFO -- : devill_4242 made a bet of 40 (call) and is left with 1120 chips. The pot now contains 120 chips.
I, [2014-01-25T17:55:03.226523 #13576]  INFO -- : community card King of Hearts
I, [2014-01-25T17:55:03.255150 #13576]  INFO -- : community card Ace of Diamonds
I, [2014-01-25T17:55:03.287824 #13576]  INFO -- : community card 8 of Spades
I, [2014-01-25T17:55:03.325036 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1120 chips. The pot now contains 120 chips.
I, [2014-01-25T17:55:03.361678 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 840 chips. The pot now contains 120 chips.
I, [2014-01-25T17:55:03.390369 #13576]  INFO -- : community card 6 of Spades
I, [2014-01-25T17:55:03.421865 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1120 chips. The pot now contains 120 chips.
I, [2014-01-25T17:55:03.457200 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 840 chips. The pot now contains 120 chips.
I, [2014-01-25T17:55:03.492499 #13576]  INFO -- : community card 4 of Clubs
